@TYPE,@ALTBUSINESSSCENARIONAME,@CWAVERAGERATING,@CWTOTALCOMMENT,@MATURITYLEVEL,@DESCRIPTION,@FLOWFIGUREDIAGRAMINORIGINALDOCUMENTATION,@BUSINESSSCENARIOID,@WHENCREATED,@POSTCONDITIONSAPPLICABLE,@BUSINESSRULESID,@BUSINESSSCENARIONNOTES,@NAME,@DATEVALIDATED,@TEMPLATE,@PROVIDED,@UNIQUEIDENTIFIER,@BUSINESSRULESAPPLICABLE,@WHENUPDATED,@VALIDATED,@EXPORTFLAG,@PRECONDITIONSAPPLICABLE,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
,Request Bill Reporting,0.0,0.0,216e2e5f605011e4925a6817294aebff,,Figure 63 Request Billing Report Sequence Diagram,,2014-10-28T04:03:11,,,,Request Bill Reporting,1899-12-30T00:00:00,0,,9bbe974d5e8911e4925a6817294aebff,,2014-10-30T10:20:14,0,0,"external party has at least one active Billing Account.
external party is authorised to query bill reporting.",32,32,32
,,0.0,0.0,,,,,2015-05-07T11:23:00,,,,Manage Appointment,1899-12-30T00:00:00,0,,b1324841f4dd11e4aa85002590713bc0,,2015-05-07T11:23:00,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:23:11,,,,T2R14,1899-12-30T00:00:00,0,,b75c7871f4dd11e4aa85002590713bc0,,2015-05-07T11:23:11,0,0,,32,32,32
51b1e4eb5f4a11e4925a6817294aebff,PO-BP003 Order Feasibility Check,0.0,0.0,216e2e5f605011e4925a6817294aebff,Request initiated by external party to determine whether the Product as specified by the provided order details is feasible at the specified location.,Figure 25 Order Feasibility Check Process Flow,PO-BP003,2014-10-28T04:04:03,"Response sent to external party on feasibility result for requested Product 
Pre Order details (design & assign feasibility) for specific Product including resource shortfalls and appointment demand types",,The Flow does not cover message related errors or exceptions; it assumes a valid XML message format.,Order Feasibility Check,1899-12-30T00:00:00,0,,b7e063725e8911e4925a6817294aebff,"external party must be certified for specified Product
No network resources are reserved during this process",2014-10-30T10:18:52,0,0,"external party has sent a valid message.
Provided:",32,32,32
,Billing,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:05:29,,,,Billing,1899-12-30T00:00:00,0,,b9001be85f4a11e4925a6817294aebff,,2014-10-30T10:17:25,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:23:15,,,,"T2R4, T2R12",1899-12-30T00:00:00,0,,bde37e5df4dd11e4aa85002590713bc0,,2015-05-07T11:23:15,0,0,,32,32,32
,Cancel Billing Enquiry or Dispute,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:05:55,,,,Cancel Billing Enquiry or Dispute,1899-12-30T00:00:00,0,,c38e985b5f4a11e4925a6817294aebff,,2014-10-30T10:17:40,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:23:31,,,,T2R27,1899-12-30T00:00:00,0,,c41e5865f4dd11e4aa85002590713bc0,,2015-05-07T11:23:31,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:23:31,,,,T2R37,1899-12-30T00:00:00,0,,c41e586df4dd11e4aa85002590713bc0,,2015-05-07T11:23:31,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:23:33,,,,"T2R36, T2R45",1899-12-30T00:00:00,0,,c41e5877f4dd11e4aa85002590713bc0,,2015-05-07T11:23:33,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:23:37,,,,T2R8,1899-12-30T00:00:00,0,,ca20114bf4dd11e4aa85002590713bc0,,2015-05-07T11:23:37,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:23:40,,,,T2R10,1899-12-30T00:00:00,0,,ca201157f4dd11e4aa85002590713bc0,,2015-05-07T11:23:40,0,0,,32,32,32
,TT-BP007 Planned change / hazard,0.0,0.0,216e2e5f605011e4925a6817294aebff,,Figure 53 Planned change / hazard Process Flow,TT-BP007,2014-10-28T03:57:17,Send a notification of the Planned NBN Maintenance to affected external party's.,,,Planned change / hazard,1899-12-30T00:00:00,0,,cb16c1495e8811e4925a6817294aebff,,2014-10-30T10:19:02,0,0,"Affected external party's have been determined.  The window has been identified. 
Provided:",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,OH-BP017 Request Product Instance Info,0.0,0.0,216e2e5f605011e4925a6817294aebff,"Interaction that supports external party to request details of an existing Product instance that belongs to them. 
When service provider completes handling a Product order the full Product instance information is provided to external party.  This information is persisted in external party's logical and physical inventory systems.  external party will use their own inventory as the first point of reference.  However, as service provider is the database of record (or point of truth) for Product Instance information, the B2B Access supports the ability for external party to request the Product information so that their systems can be aligned or reconciled to service provider.",Figure 39 Request Product Instance Interaction Diagram,OH-BP017,2014-10-28T04:04:29,"Response sent to external party containing service/s, resource/s details associated with the Product instance",,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Request Product Instance Info,1899-12-30T00:00:00,0,,cd0c299b5e8911e4925a6817294aebff,,2014-10-30T10:20:44,0,0,"Product instance exists
Product instance belongs to external party",32,32,32
4c0610a45f4b11e4925a6817294aebff,PC-BP002 Notify Product Catalogue Update,0.0,0.0,216e2e5f605011e4925a6817294aebff,"service provider sends a notification to the impacted external party advising of Product changes, for example: new Product version is available",Figure 41 Notify Product Catalogue Update Sequence Diagram,PC-BP002,2014-10-28T03:57:31,Not applicable,,"Global Product changes, i.e. a new Product constructed will be communicated via the industry engagement channel. This notification is only apply for changes to existing Products.",Notify Product Catalogue Update,1899-12-30T00:00:00,0,,d174f1d95e8811e4925a6817294aebff,,2014-10-30T10:18:47,0,0,"external party has a ?contract? to sell the service/s.
A Product has been updated.",32,32,32
,Request Service Impacting Indicator,0.0,0.0,216e2e5f605011e4925a6817294aebff,,Figure 70 Request Service Impacting Indicator Sequence Diagram,,2014-10-28T04:04:45,,,,Request Service Impacting Indicator,1899-12-30T00:00:00,0,,d33d56135e8911e4925a6817294aebff,external party can only request service impacting indicator information related to their services.,2014-10-30T10:20:49,0,0,"external party has a service/s with service provider.
external party is authorised to perform the test.",32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:02,,,,T2R26,1899-12-30T00:00:00,0,,d62121ddf4dd11e4aa85002590713bc0,,2015-05-07T11:24:02,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:02,,,,T2R2,1899-12-30T00:00:00,0,,d62121e2f4dd11e4aa85002590713bc0,,2015-05-07T11:24:02,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:02,,,,T2R9,1899-12-30T00:00:00,0,,d62121e9f4dd11e4aa85002590713bc0,,2015-05-07T11:24:02,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:02,,,,T2R28,1899-12-30T00:00:00,0,,d62121eff4dd11e4aa85002590713bc0,,2015-05-07T11:24:02,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:02,,,,"T2R1, T2R11",1899-12-30T00:00:00,0,,d62121f4f4dd11e4aa85002590713bc0,,2015-05-07T11:24:02,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:02,,,,T2R5,1899-12-30T00:00:00,0,,d62121f9f4dd11e4aa85002590713bc0,,2015-05-07T11:24:02,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:02,,,,"T2R1, T2R17, T2R41",1899-12-30T00:00:00,0,,d62121fef4dd11e4aa85002590713bc0,,2015-05-07T11:24:02,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:02,,,,T2R18,1899-12-30T00:00:00,0,,d6212203f4dd11e4aa85002590713bc0,,2015-05-07T11:24:02,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:02,,,,T2R19,1899-12-30T00:00:00,0,,d6212208f4dd11e4aa85002590713bc0,,2015-05-07T11:24:02,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:02,,,,T2R20,1899-12-30T00:00:00,0,,d621220df4dd11e4aa85002590713bc0,,2015-05-07T11:24:02,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:02,,,,T2R30,1899-12-30T00:00:00,0,,d6212212f4dd11e4aa85002590713bc0,,2015-05-07T11:24:02,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:03,,,,T2R46,1899-12-30T00:00:00,0,,d6212218f4dd11e4aa85002590713bc0,,2015-05-07T11:24:03,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:03,,,,T2R31,1899-12-30T00:00:00,0,,d621221df4dd11e4aa85002590713bc0,,2015-05-07T11:24:03,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:03,,,,T2R32,1899-12-30T00:00:00,0,,d6212226f4dd11e4aa85002590713bc0,,2015-05-07T11:24:03,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:03,,,,T2R33,1899-12-30T00:00:00,0,,d621222cf4dd11e4aa85002590713bc0,,2015-05-07T11:24:03,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:03,,,,T2R15,1899-12-30T00:00:00,0,,d6212235f4dd11e4aa85002590713bc0,,2015-05-07T11:24:03,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:03,,,,T2R16,1899-12-30T00:00:00,0,,d621223af4dd11e4aa85002590713bc0,,2015-05-07T11:24:03,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:03,,,,T2R29,1899-12-30T00:00:00,0,,d621223ff4dd11e4aa85002590713bc0,,2015-05-07T11:24:03,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:03,,,,T2R35,1899-12-30T00:00:00,0,,d6212244f4dd11e4aa85002590713bc0,,2015-05-07T11:24:03,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:03,,,,T2R38,1899-12-30T00:00:00,0,,d6212249f4dd11e4aa85002590713bc0,,2015-05-07T11:24:03,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:03,,,,T2R39,1899-12-30T00:00:00,0,,d621224ef4dd11e4aa85002590713bc0,,2015-05-07T11:24:03,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:04,,,,T2R42,1899-12-30T00:00:00,0,,d6212253f4dd11e4aa85002590713bc0,,2015-05-07T11:24:04,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:04,,,,T2R47,1899-12-30T00:00:00,0,,d621225cf4dd11e4aa85002590713bc0,,2015-05-07T11:24:04,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:04,,,,T2R25,1899-12-30T00:00:00,0,,d6212261f4dd11e4aa85002590713bc0,,2015-05-07T11:24:04,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:04,,,,T2R40,1899-12-30T00:00:00,0,,d621226af4dd11e4aa85002590713bc0,,2015-05-07T11:24:04,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:04,,,,T2R21,1899-12-30T00:00:00,0,,d621226ff4dd11e4aa85002590713bc0,,2015-05-07T11:24:04,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:04,,,,T2R22,1899-12-30T00:00:00,0,,d6212274f4dd11e4aa85002590713bc0,,2015-05-07T11:24:04,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:04,,,,T2R23,1899-12-30T00:00:00,0,,d6212279f4dd11e4aa85002590713bc0,,2015-05-07T11:24:04,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:04,,,,T2R34,1899-12-30T00:00:00,0,,d621227ef4dd11e4aa85002590713bc0,,2015-05-07T11:24:04,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:04,,,,"T2R24, T2R43",1899-12-30T00:00:00,0,,d6212283f4dd11e4aa85002590713bc0,,2015-05-07T11:24:04,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:04,,,,T2R44,1899-12-30T00:00:00,0,,d6212288f4dd11e4aa85002590713bc0,,2015-05-07T11:24:04,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:04,,,,T2R7,1899-12-30T00:00:00,0,,d621228df4dd11e4aa85002590713bc0,,2015-05-07T11:24:04,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:05,,,,T2R3,1899-12-30T00:00:00,0,,d6212293f4dd11e4aa85002590713bc0,,2015-05-07T11:24:05,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:05,,,,T2R13,1899-12-30T00:00:00,0,,d6212298f4dd11e4aa85002590713bc0,,2015-05-07T11:24:05,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:05,,,,Catalog Management,1899-12-30T00:00:00,0,,d621229df4dd11e4aa85002590713bc0,,2015-05-07T11:24:05,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:05,,,,Product Lifecycle,1899-12-30T00:00:00,0,,d62122aaf4dd11e4aa85002590713bc0,,2015-05-07T11:24:05,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:05,,,,Resource Lifecycle,1899-12-30T00:00:00,0,,d62122b7f4dd11e4aa85002590713bc0,,2015-05-07T11:24:05,0,0,,32,32,32
,,0.0,0.0,,,,,2015-05-07T11:24:05,,,,Service Lifecycle,1899-12-30T00:00:00,0,,d62122bcf4dd11e4aa85002590713bc0,,2015-05-07T11:24:05,0,0,,32,32,32
,Request Service Operational Status,0.0,0.0,216e2e5f605011e4925a6817294aebff,,Figure 71 Request Service Operational Status Sequence Diagram,,2014-10-28T04:04:59,,,,Request Service Operational Status,1899-12-30T00:00:00,0,,d9aee7db5e8911e4925a6817294aebff,"external party can only request service information related to external party.
Only a single service can be requested.",2014-10-30T10:20:55,0,0,"external party has a number of services with service provider.
external party is authorised to perform the test.",32,32,32
,Publish rollout forecast,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-28T03:57:50,,,,Publish rollout forecast,1899-12-30T00:00:00,0,,df093f8f5e8811e4925a6817294aebff,,2014-10-30T10:19:22,0,0,"Not applicable
Flow of events",32,32,32
,Service Limiting,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:20:55,,,,Service Limiting,1899-12-30T00:00:00,0,,e0a801c25f4c11e4925a6817294aebff,,2014-10-30T10:21:15,0,0,,32,32,32
,Convert Billing Enquiry to Dispute,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:06:38,,,,Convert Billing Enquiry to Dispute,1899-12-30T00:00:00,0,,e2bc29475f4a11e4925a6817294aebff,The Service Level will be re-started after a Billing Enquiry has been converted into a Billing Dispute Trouble Ticket.,2014-10-30T10:17:50,0,0,"external party has at least one active Billing Account.
A Billing Enquiry Trouble Ticket exists.",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,AM-BP010 Appointment Attempt Failure,0.0,0.0,216e2e5f605011e4925a6817294aebff,service provider initiated notification where the appointment took place or an attempt was made to perform the activities but was missed due to End User not being available at site or not in attendance (NIA),,AM-BP010,2014-10-28T03:50:48,"Send status notification to external party 
external party to re book appointment",,The Flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Appointment Attempt Failure,1899-12-30T00:00:00,0,,e38198665e8711e4925a6817294aebff,Notification to the external party will include reason,2014-10-30T10:16:49,0,0,"Not applicable
Provided: 
Appointment missed due to End User not in attendance",32,32,32
,Inform Service Limiting,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-28T03:58:05,,,,Inform Service Limiting,1899-12-30T00:00:00,0,,e56b8ede5e8811e4925a6817294aebff,,2014-10-30T10:18:11,0,0,"external party has crossed the service limit
Flow of events",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,AM-BP003 Reschedule an Appointment,0.0,0.0,216e2e5f605011e4925a6817294aebff,"external party queries available slots, selects slot that meets their requirement and request reschedule of the existing appointment. 
End user could no longer meet the booked timing and requires to move the appointment, or alternatively service provider may require the appointment to be rescheduled (e.g. due to Mass service disruption in area, Network remediation, hazardous conditions on site etc). 
external party queries available slots, selects slot that meets their requirement and request reschedule of the existing appointment.",[1.] external party requested reschedule (prior to appointment day),AM-BP003,2014-10-28T03:51:03,"The appointment is rescheduled and associated with the new time slot, and confirmation is sent to external party.
Previous time slot if valid is returned to availability pool",,The flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Reschedule an Appointment,1899-12-30T00:00:00,0,,e9c33fdb5e8711e4925a6817294aebff,,2014-10-30T10:21:05,0,0,"external party has sent valid message. 
external party has an existing valid appointment. 
external party been advised by service provider that reschedule required including reason (For service provider required reschedules)",32,32,32
c883b7595f4b11e4925a6817294aebff,Raise Billing Dispute or Enquiry,0.0,0.0,216e2e5f605011e4925a6817294aebff,"external party'sends generic questions, and receives clarifications relating to their bill or requests to raise a Billing Dispute to specific line items, or a group of line items within the bill to formally dispute.",Figure 64 Raise Billing Dispute or Billing Enquiry Sequence Diagram,,2014-10-29T03:14:08,,,"The flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Raise Billing Dispute or Enquiry,1899-12-30T00:00:00,0,,ee55d1ae5f4b11e4925a6817294aebff,,2014-10-30T10:20:08,0,0,external party has at least one active Billing Account.,32,32,32
,Request Test,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-28T04:05:26,,,,Request Test,1899-12-30T00:00:00,0,,ef042f9f5e8911e4925a6817294aebff,external party can only request a Test Type that is published based on the service/s contracted with service provider under the Wholesale Broadband Agreement.,2014-10-30T10:21:00,0,0,"external party has an active Service/s.
external party is authorised to perform the test.",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,PO-BP004 Batch Address Search,0.0,0.0,216e2e5f605011e4925a6817294aebff,"A Request is initiated from external party to submit a batch request containing multiple addresses for validation.
It will return either an exact match or a list of close addresses depending on the query.",,PO-BP004,2014-10-28T03:51:17,"Upon completion of the batch, send a response containing a consolidated qualification results for each line item within the batch.",,The Flow does not cover message related errors or exceptions; it assumes a valid XML message format.,Batch Address Search,1899-12-30T00:00:00,0,,f159a6dd5e8711e4925a6817294aebff,"Rejection of individual line items within the batch would not lead to an overall batch rejection.
A batch can contain up to 3000 number of line items.",2014-10-30T10:17:15,0,0,"external party has a sent valid message.
Provided:",32,32,32
